Bana,Paha,-
Banang,Benang,-
Banda,Capek Otot,-
Bandaon,"Kecapean, Kelelahan",-
Bandabe,"Mencari, Memungut",-
Bandangas,Makan Buah Terlalu Berlebihan,-
Bandaingdulung,"Berhujan hujanan, Kehujanan",-
"Bande, Balan, Bolon, Balenede","Monyet, Kera",-
Bandoloi,Berpacaran,-
Bangail,"Jambang, Brewok",-
"Bangkak, Bobongan",Bengkak,-
"Bangkapi, Banggapi, Miyan",Orang,-
"Bangkulu, Bangkurung",Ulat Kaki Seribu,-
Bangun,Bangun,-
"Banggait, Banggaitan",Perhitungan,-
Banggamaina,Sampai Besok,-
BanggaMooloyo,Sampai Siang,-
"ManggaModoa, BanggaMonunuan",Sampai Pagi,-
Banggal,"Berhenti, Sudah",-
Banggalo,"Sudah Saja, Berhenti Saja",-
"Banggaal, Babanggaal","Puji Diri, Sombong",-
"Banggolinggong, Baumbanggon",Berbaring,-
Banika,"Kawin, Menikah",-
Banoa,"Sakit hati, Makan Hati, Patah Hati",-
Banjela,Jendela,-
"Bantala, Babantala, Pandoku, Poloon","Malas, Kurang nyaman",-
Bantang,Rentang,-
Bantanggene,Rentangkanlah,-
Bantil,Bilang,-
Bisala,Bicara,-
Silingan,Bahasa,-
Salita,Cerita,-
Bantilano,"Bicaranya, Perkataannya",-
Baontokii,"Berisi, Mengisi",-
Baobos,Berbagi,-
Bapeneus,Tukar Pakaian,-
Bapilogot,Kerasukan,-
"Basalean, Natal","Halaman Rumah, Depan Rumah",-
"Bawuloian, Moinsale",Bermusyawarah,-
Basamaya,Berhutang,-
"Basedu, Balegeleges","Bercanda, Bergurau",-
"Baseleon, Seeleon","Marantau, Rantau",-
Babasilingan,Bicara-bicara,-
Basindua,"Bercinta, Berpacaran",-
Basiok,Sarapan,-
"Basunsung, Sunsung","Menyendiri, Sendiri",-
Basusup,Merokok,-
"Batta, Sikala",Ubi Jalar,-
Bata,Belah,-
Bataken,Belahlah,-
Batakenemo,Belahkan Saja,-
Bata-bata,"Ragu-ragu, Segan",-
Batang,"Pohon, Batang",-
Batango,"Batangnya, Pohonnya",-
Batekon,"Naik, Melompat",-
Batetekon,Sakit Mata,-
Bateteba,Berpesan,-
Batong,Menabuh Gendang,-
Batotobo,Berkemas,-
Batu,Batu,-
"Bauntal, Balu","Janda, Duda",-
Bauntum,Menabung,-
Bawuba,"Badukung, Bagendong",-
Yinuba,"Didukung, Digendong",-
Monguba,"Mendukung, Menggendong",-
Bawililu,Memancing,-
Babaangi,Rakyat,-
Beau,Kemaluan,-
Beaum,Kemiri,-
Beaas,"Hambur, Pancar",-
Bineaas,"Dihambur, Dipencar",-
Tabeaas,Terhambur,-
Bebang,Biawak,-
Bebato,"Para Pejabat, Penguasa",-
Bebe,Marah-marah,-
Bebean,Selalu bicara Kasar,-
Bebek,Itik,-
Bebel,Bengkok kebawah,-
Bebelo,Pinggiran Teluk,-
Bebelak,Lebar,-
Bebalai,Luas,-
Bebelai,Ikan Pari,-
Bee,"Beri, Kasih",-
Belebuse,Curahlah,-
Beli-belian,Gembira,-
Mbesi-mbesi,Senang,-
Benelung,Menebal,-
Benga,Terbang,-
Benge,"Pundak, Bahu",-
Bengket,Berturut turut,-
Bontol,Putus,-
Betek,Belalang,-
Betekene,"Perintah, Suruh",-
Beu,Tak Mau,-
Bibiane,"Sindir, Gurau",-
Bibii,Senyum,-
Bibil,Pinggir,-
Biiti,Cubit,-
Bilat,Api,-
Bilit,"Pantat, Bawah",-
Bilita,"Kabar, Berita",-
Binanakon,"Sama, Serupa",-
Binanggakan,"Dipuji puji, Dieluk eluk",-
Binduk,"Bagi, Penggal Kecil",-
Binggi,Pinngir,-
Binsil,Pecahan,-
Boos,Pukul,-
Bose,Dayung,-
Bingkat,"Angkat, Pinjaman",-
Bingkatan,Landasan Perahu,-
Bingkakon,Letakkan,-
Bindana,Ular,-
Biok,Gerak,-
Biol,Pindah,-
Bisa,Boleh,-
Bisamo,Sudah Benar,-
Bisano,"Racunnya, Saktinya",-
Bisso,Anai-anai,-
Bitis,Betis,-
Bitu,"Kubur, Nisan",-
Bituon,Bulan,-
Bituon masala,Gerhana Bulan,-
Biyai,Puas,-
Biyaiyo,"Beri jalan, Berlalu",-
Boowan,"Bau, Busuk",-
Boonowan,Berbau Harum,-
Baalu,Baru,-
Bobo,Kiri,-
Mboyok,"Depan, Haluan",-
Tongkuluk,Belakang,-
Boboloki,Nenek-nenek,-
Bobokii,"Pukul, hantam",-
Bobolon,Gendang Besar/ Beduk,-
Beese,Hantamlah,-
